ID_Acquisizione  DFN  ElevationAngle xAcc yAcc zAcc X1  Y1  Z1  X2 Y2 Z2 X3....
13	33903	14	-0,004	-0,956	-0,238	738,9695    660,8920    4492,0000    945,2764    970,9400    4738,0000    995,5791    725,3702    4551,0000    927,6426    440,5947    4492,0000    651,8293    264,0499    4434,0000    953,2673    151,4352    4323,0000    1438,6321    590,0822    4492,0000    1428,6356    904,7296    4612,0000    1172,2658    345,0641    4378,0000    1122,0419    -140,3691    4218,0000    760,3310    -199,4719    4218,0000    651,8293    38,8309    4434,0000    
14	33923	13	-0,005	-0,957	-0,237	738,9695    660,8920    4492,0000    945,2764    970,9400    4738,0000    995,5791    725,3702    4551,0000    927,6426    440,5947    4492,0000    651,8293    264,0499    4434,0000    953,2673    151,4352    4323,0000    1438,6321    590,0822    4492,0000    1447,8411    916,8921    4674,0000    1187,2605    349,4779    4434,0000    1122,0419    -140,3691    4218,0000    760,3310    -199,4719    4218,0000    643,5969    38,3405    4378,0000    
15	33943	13	-0,004	-0,955	-0,237	748,6755    669,5725    4551,0000    945,2764    970,9400    4738,0000    995,5791    725,3702    4551,0000    927,6426    440,5947    4492,0000    651,8293    264,0499    4434,0000    953,2673    151,4352    4323,0000    1438,6321    590,0822    4492,0000    1428,6356    904,7296    4612,0000    1187,2605    349,4779    4434,0000    1122,0419    -140,3691    4218,0000    769,7045    -201,9311    4270,0000    651,8293    38,8309    4434,0000    
16	33968	13	-0,004	-0,956	-0,236	738,9695    660,8920    4492,0000    945,2764    970,9400    4738,0000    995,5791    725,3702    4551,0000    927,6426    440,5947    4492,0000    651,8293    264,0499    4434,0000    953,2673    151,4352    4323,0000    1438,6321    590,0822    4492,0000    1447,8411    916,8921    4674,0000    1187,2605    349,4779    4434,0000    1122,0419    -140,3691    4218,0000    769,7045    -201,9311    4270,0000    643,5969    38,3405    4378,0000    
17	33990	14	-0,005	-0,956	-0,238	748,6755    669,5725    4551,0000    945,2764    970,9400    4738,0000    995,5791    725,3702    4551,0000    927,6426    440,5947    4492,0000    651,8293    264,0499    4434,0000    953,2673    151,4352    4323,0000    1438,6321    590,0822    4492,0000    1447,8411    916,8921    4674,0000    1187,2605    349,4779    4434,0000    1122,0419    -140,3691    4218,0000    760,3310    -199,4719    4218,0000    643,5969    38,3405    4378,0000    
18	34012	14	-0,004	-0,955	-0,238	748,6755    669,5725    4551,0000    945,2764    970,9400    4738,0000    995,5791    725,3702    4551,0000    927,6426    440,5947    4492,0000    651,8293    264,0499    4434,0000    953,2673    151,4352    4323,0000    1438,6321    590,0822    4492,0000    1447,8411    916,8921    4674,0000    1172,2658    345,0641    4378,0000    1122,0419    -140,3691    4218,0000    769,7045    -201,9311    4270,0000    651,8293    38,8309    4434,0000    
19	34036	14	-0,004	-0,954	-0,237	738,9695    660,8920    4492,0000    945,2764    970,9400    4738,0000    995,5791    725,3702    4551,0000    927,6426    440,5947    4492,0000    660,3557    267,5039    4492,0000    953,2673    151,4352    4323,0000    1457,5278    597,8326    4551,0000    1428,6356    904,7296    4612,0000    1187,2605    349,4779    4434,0000    1122,0419    -140,3691    4218,0000    760,3310    -199,4719    4218,0000    651,8293    38,8309    4434,0000    
20	34060	14	-0,004	-0,955	-0,237	738,9695    660,8920    4492,0000    958,4441    984,4651    4804,0000    1008,9235    735,0928    4612,0000    927,6426    440,5947    4492,0000    660,3557    267,5039    4492,0000    953,2673    151,4352    4323,0000    1438,6321    590,0822    4492,0000    1447,8411    916,8921    4674,0000    1172,2658    345,0641    4378,0000    1122,0419    -140,3691    4218,0000    760,3310    -199,4719    4218,0000    651,8293    38,8309    4434,0000    
21	34080	14	-0,004	-0,956	-0,237	738,9695    660,8920    4492,0000    945,2764    970,9400    4738,0000    995,5791    725,3702    4551,0000    927,6426    440,5947    4492,0000    660,3557    267,5039    4492,0000    953,2673    151,4352    4323,0000    1438,6321    590,0822    4492,0000    1447,8411    916,8921    4674,0000    1187,2605    349,4779    4434,0000    1122,0419    -140,3691    4218,0000    760,3310    -199,4719    4218,0000    643,5969    38,3405    4378,0000    
22	34104	13	-0,002	-0,954	-0,236	738,9695    660,8920    4492,0000    958,4441    984,4651    4804,0000    995,5791    725,3702    4551,0000    927,6426    440,5947    4492,0000    651,8293    264,0499    4434,0000    953,2673    151,4352    4323,0000    1438,6321    590,0822    4492,0000    1428,6356    904,7296    4612,0000    1187,2605    349,4779    4434,0000    1122,0419    -140,3691    4218,0000    760,3310    -199,4719    4218,0000    643,5969    38,3405    4378,0000    
23	34124	14	-0,004	-0,955	-0,237	729,4280    652,3587    4434,0000    945,2764    970,9400    4738,0000    995,5791    725,3702    4551,0000    927,6426    440,5947    4492,0000    651,8293    264,0499    4434,0000    953,2673    151,4352    4323,0000    1438,6321    590,0822    4492,0000    1447,8411    916,8921    4674,0000    1172,2658    345,0641    4378,0000    1122,0419    -140,3691    4218,0000    769,7045    -201,9311    4270,0000    651,8293    38,8309    4434,0000    
24	34144	13	-0,005	-0,954	-0,237	738,9695    660,8920    4492,0000    945,2764    970,9400    4738,0000    995,5791    725,3702    4551,0000    927,6426    440,5947    4492,0000    651,8293    264,0499    4434,0000    953,2673    151,4352    4323,0000    1438,6321    590,0822    4492,0000    1447,8411    916,8921    4674,0000    1187,2605    349,4779    4434,0000    1122,0419    -140,3691    4218,0000    760,3310    -199,4719    4218,0000    651,8293    38,8309    4434,0000    
25	34164	13	-0,004	-0,955	-0,237	738,9695    660,8920    4492,0000    945,2764    970,9400    4738,0000    995,5791    725,3702    4551,0000    927,6426    440,5947    4492,0000    651,8293    264,0499    4434,0000    953,2673    151,4352    4323,0000    1438,6321    590,0822    4492,0000    1428,6356    904,7296    4612,0000    1187,2605    349,4779    4434,0000    1122,0419    -140,3691    4218,0000    769,7045    -201,9311    4270,0000    651,8293    38,8309    4434,0000    
26	34188	14	-0,004	-0,955	-0,237	738,9695    660,8920    4492,0000    945,2764    970,9400    4738,0000    1008,9235    735,0928    4612,0000    927,6426    440,5947    4492,0000    651,8293    264,0499    4434,0000    953,2673    151,4352    4323,0000    1438,6321    590,0822    4492,0000    1447,8411    916,8921    4674,0000    1172,2658    345,0641    4378,0000    1122,0419    -140,3691    4218,0000    760,3310    -199,4719    4218,0000    651,8293    38,8309    4434,0000    
27	34208	13	-0,004	-0,955	-0,237	738,9695    660,8920    4492,0000    945,2764    970,9400    4738,0000    995,5791    725,3702    4551,0000    927,6426    440,5947    4492,0000    651,8293    264,0499    4434,0000    953,2673    151,4352    4323,0000    1438,6321    590,0822    4492,0000    1447,8411    916,8921    4674,0000    1172,2658    345,0641    4378,0000    1122,0419    -140,3691    4218,0000    769,7045    -201,9311    4270,0000    651,8293    38,8309    4434,0000    
28	34228	13	-0,004	-0,954	-0,237	748,6755    669,5725    4551,0000    945,2764    970,9400    4738,0000    995,5791    725,3702    4551,0000    927,6426    440,5947    4492,0000    660,3557    267,5039    4492,0000    953,2673    151,4352    4323,0000    1438,6321    590,0822    4492,0000    1428,6356    904,7296    4612,0000    1187,2605    349,4779    4434,0000    1122,0419    -140,3691    4218,0000    769,7045    -201,9311    4270,0000    651,8293    38,8309    4434,0000    
29	34248	14	-0,004	-0,954	-0,238	738,9695    660,8920    4492,0000    945,2764    970,9400    4738,0000    1008,9235    735,0928    4612,0000    927,6426    440,5947    4492,0000    651,8293    264,0499    4434,0000    953,2673    151,4352    4323,0000    1438,6321    590,0822    4492,0000    1447,8411    916,8921    4674,0000    1172,2658    345,0641    4378,0000    1122,0419    -140,3691    4218,0000    769,7045    -201,9311    4270,0000    651,8293    38,8309    4434,0000    
30	34268	14	-0,004	-0,954	-0,238	748,6755    669,5725    4551,0000    945,2764    970,9400    4738,0000    995,5791    725,3702    4551,0000    927,6426    440,5947    4492,0000    651,8293    264,0499    4434,0000    953,2673    151,4352    4323,0000    1438,6321    590,0822    4492,0000    1447,8411    916,8921    4674,0000    1172,2658    345,0641    4378,0000    1122,0419    -140,3691    4218,0000    751,1378    -197,0601    4167,0000    651,8293    38,8309    4434,0000    
31	34288	14	-0,005	-0,955	-0,238	738,9695    660,8920    4492,0000    945,2764    970,9400    4738,0000    1008,9235    735,0928    4612,0000    927,6426    440,5947    4492,0000    651,8293    264,0499    4434,0000    953,2673    151,4352    4323,0000    1438,6321    590,0822    4492,0000    1447,8411    916,8921    4674,0000    1172,2658    345,0641    4378,0000    1122,0419    -140,3691    4218,0000    760,3310    -199,4719    4218,0000    651,8293    38,8309    4434,0000    
32	34310	14	-0,006	-0,954	-0,238	738,9695    660,8920    4492,0000    945,2764    970,9400    4738,0000    1008,9235    735,0928    4612,0000    927,6426    440,5947    4492,0000    635,5115    257,4398    4323,0000    965,3954    153,3618    4378,0000    1457,5278    597,8326    4551,0000    1447,8411    916,8921    4674,0000    1172,2658    345,0641    4378,0000    1122,0419    -140,3691    4218,0000    769,7045    -201,9311    4270,0000    643,5969    38,3405    4378,0000    
33	34333	13	-0,004	-0,952	-0,237	748,6755    669,5725    4551,0000    945,2764    970,9400    4738,0000    995,5791    725,3702    4551,0000    927,6426    440,5947    4492,0000    643,5969    260,7151    4378,0000    953,2673    151,4352    4323,0000    1438,6321    590,0822    4492,0000    1447,8411    916,8921    4674,0000    1172,2658    345,0641    4378,0000    1108,4753    -138,6719    4167,0000    760,3310    -199,4719    4218,0000    651,8293    38,8309    4434,0000    
34	34354	14	-0,005	-0,955	-0,237	738,9695    660,8920    4492,0000    945,2764    970,9400    4738,0000    1008,9235    735,0928    4612,0000    927,6426    440,5947    4492,0000    651,8293    264,0499    4434,0000    953,2673    151,4352    4323,0000    1438,6321    590,0822    4492,0000    1447,8411    916,8921    4674,0000    1172,2658    345,0641    4378,0000    1122,0419    -140,3691    4218,0000    769,7045    -201,9311    4270,0000    651,8293    38,8309    4434,0000    
35	34374	14	-0,005	-0,952	-0,238	738,9695    660,8920    4492,0000    945,2764    970,9400    4738,0000    1008,9235    735,0928    4612,0000    927,6426    440,5947    4492,0000    651,8293    264,0499    4434,0000    953,2673    151,4352    4323,0000    1438,6321    590,0822    4492,0000    1447,8411    916,8921    4674,0000    1172,2658    345,0641    4378,0000    1122,0419    -140,3691    4218,0000    760,3310    -199,4719    4218,0000    643,5969    38,3405    4378,0000    
36	34398	14	-0,004	-0,954	-0,237	738,9695    660,8920    4492,0000    958,4441    984,4651    4804,0000    995,5791    725,3702    4551,0000    927,6426    440,5947    4492,0000    651,8293    264,0499    4434,0000    953,2673    151,4352    4323,0000    1438,6321    590,0822    4492,0000    1447,8411    916,8921    4674,0000    1187,2605    349,4779    4434,0000    1122,0419    -140,3691    4218,0000    769,7045    -201,9311    4270,0000    651,8293    38,8309    4434,0000    
